Class	Subclass	Order	Suborder	Infraorder/Superfamily	Family	Species_list	Cnidocyte	Type	Reference	synonymous_names_ref	synonymous_names_origtree	notes
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Bougainvilliidae	Bougainvillia_triestina	eurytele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Bougainvilliidae	Bougainvillia_fulva	desmoneme		Bouillon, 1985; Bouillon, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Bougainvilliidae	Bougainvillia_fulva	eurytele		Bouillon, 1985; Bouillon, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Rathkeidae	Podocorynoides_minima	desmoneme		Bouillon, 1985; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Rathkeidae	Podocorynoides_minima	eurytele		Bouillon, 1985; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Bougainvilliidae	Koellikerina_fasciculata	desmoneme		Bouillon, 1985; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Bougainvilliidae	Koellikerina_fasciculata	eurytele		Bouillon, 1985; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Bougainvilliidae	Garveia_grisea	desmoneme		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Bougainvilliidae	Garveia_grisea	eurytele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Bougainvilliidae	Nemopsis_bachei	desmoneme		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Bougainvilliidae	Nemopsis_bachei	eurytele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Oceaniidae	Turritopsis_dohrnii						
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Oceaniidae	Turritopsis_nutricula	desmoneme		Ito & Inoue, 1962; Bouillon, 1985			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Oceaniidae	Turritopsis_nutricula	eurytele		Ito & Inoue, 1962; Bouillon, 1985			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Oceaniidae	Turritopsis_rubra						
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Oceaniidae	Turritopsis_lata						
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Cytaeididae	Perarella_schneideri	desmoneme		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Cytaeididae	Perarella_schneideri	eurytele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Cytaeididae	Perarella_schneideri	mastigophore		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Bougainvilliidae	Garveia_annulata	desmoneme		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Bougainvilliidae	Garveia_annulata	eurytele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Hydrichthyidae	Hydrichthys_boycei	desmoneme		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Hydrichthyidae	Hydrichthys_boycei	eurytele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Pandeidae	Neoturris_breviconis	desmoneme		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Pandeidae	Neoturris_breviconis	isorhiza	atrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Pandeidae	Neoturris_breviconis	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Pandeidae	Neoturris_breviconis	mastigophore		Russell, 1970; Bouillon, 1985; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Pandeidae	Neoturris_breviconis	eurytele		Russell, 1970; Bouillon, 1985; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Pandeidae	Leuckartiara_octona	desmoneme		Ito & Inoue, 1962; Bouillon, 1985; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Pandeidae	Leuckartiara_octona	eurytele		Ito & Inoue, 1962; Bouillon, 1985; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Pandeidae	Leuckartiara_octona	isorhiza	atrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Pandeidae	Leuckartiara_octona	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Pandeidae	Leuckartiara_octona	mastigophore		Ito & Inoue, 1962; Bouillon, 1985; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Rathkeidae	Lizzia_blondina	desmoneme		Ito & Inoue, 1962; Bouillon, 1985; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Rathkeidae	Lizzia_blondina	eurytele		Ito & Inoue, 1962; Bouillon, 1985; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Rathkeidae	Rathkea_octopunctata	desmoneme		Ito & Inoue, 1962; Bouillon, 1985; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Rathkeidae	Rathkea_octopunctata	eurytele		Ito & Inoue, 1962; Bouillon, 1985; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Aplanulata	-	Protohydridae	Sympagohydra_tuuli	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Aplanulata	-	Protohydridae	Sympagohydra_tuuli	stenotele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Anthoathecata	Filifera	-	Oceaniidae	Rhizogeton_nudus						
Hydrozoa	Hydroidolina	Leptothecata	-	-	Lafoeidae	Lafoea_dumosa	mastigophore		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Lafoeidae	Lafoea_dumosa	eurytele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Lafoeidae	Lafoea_dumosa	pseudostenotele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Melicertidae	Melicertum_octocostatum	isorhiza	atrichous	Bouillon, 1985; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Melicertidae	Melicertum_octocostatum	isorhiza	basitrichous	Mackie & Mackie (63?); Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Melicertidae	Melicertum_octocostatum	mastigophore		Russell, 1970; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Lafoeidae	Billardia_subrufa	mastigophore		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Lafoeidae	Billardia_subrufa	eurytele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Lafoeidae	Billardia_subrufa	pseudostenotele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Tiarannidae	Modeeria_rotunda	eurytele		Russell, 1970; Bouillon, 1985; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Laodiceidae	Ptychogena_crocea	eurytele		Bouillon et al, 2004		[=Stegopoma_plicatile]	
Hydrozoa	Hydroidolina	Leptothecata	-	-	Aequoreidae	Aequorea_forskalea	isorhiza	atrichous	Weill, 1934; Russell, 1970; Bouillon, 1985		[=Aequorea_aequorea]	
Hydrozoa	Hydroidolina	Leptothecata	-	-	Aequoreidae	Aequorea_forskalea	isorhiza	basitrichous	Weill, 1934; Russell, 1970; Bouillon, 1985		[=Aequorea_aequorea]	
Hydrozoa	Hydroidolina	Leptothecata	-	-	Aequoreidae	Aequorea_forskalea	mastigophore		Weill, 1934; Russell, 1970; Bouillon, 1985		[=Aequorea_aequorea]	
Hydrozoa	Hydroidolina	Leptothecata	-	-	Aequoreidae	Aequorea_victoria	isorhiza	atrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Aequoreidae	Aequorea_victoria	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Aequoreidae	Aequorea_victoria	isorhiza	merotrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Aequoreidae	Aequorea_victoria	mastigophore		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Aequoreidae	Aequorea_australis	isorhiza	atrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Aequoreidae	Aequorea_australis	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Aequoreidae	Aequorea_australis	isorhiza	merotrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Aequoreidae	Aequorea_australis	mastigophore		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Aequoreidae	Aequorea_conica	isorhiza	atrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Aequoreidae	Aequorea_conica	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Aequoreidae	Aequorea_conica	isorhiza	merotrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Aequoreidae	Aequorea_conica	mastigophore		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Aequoreidae	Gangliostoma_guangdongensis	isorhiza	atrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Aequoreidae	Gangliostoma_guangdongensis	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Aequoreidae	Gangliostoma_guangdongensis	isorhiza	merotrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Aequoreidae	Aequorea_papillata	isorhiza	atrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Aequoreidae	Aequorea_papillata	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Aequoreidae	Aequorea_papillata	isorhiza	merotrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Aequoreidae	Aequorea_papillata	mastigophore		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Eirene_hexanemalis	isorhiza	atrichous	Bouillon, 1984(p4); Bouillon, 1985; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Eirene_hexanemalis	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Eirene_hexanemalis	isorhiza	atrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Eirene_hexanemalis	isorhiza	merotrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Eirene_hexanemalis	mastigophore		Bouillon, 1984(p4); Bouillon, 1985; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Eirene_lacteoides	isorhiza	atrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Eirene_lacteoides	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Eirene_lacteoides	isorhiza	merotrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Eirene_lacteoides	mastigophore		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Tima_formosa	isorhiza	atrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Tima_formosa	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Tima_formosa	isorhiza	merotrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Tima_formosa	mastigophore		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Eirene_kambara	isorhiza	atrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Eirene_kambara	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Eirene_kambara	isorhiza	merotrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Eirene_kambara	mastigophore		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Eirene_pyramidalis	isorhiza	atrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Eirene_pyramidalis	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Eirene_pyramidalis	isorhiza	merotrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Eirene_pyramidalis	mastigophore		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Eirene_viridula	isorhiza	basitrichous	Russell, 1970; Bouillon, 1985; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Eirene_viridula	isorhiza	atrichous	Weill, 1934; Russell, 1970; Bouillon, 1985; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Eirenidae	Eirene_viridula	isorhiza	merotrichous	Bouillon et al, 2004			
