Class	Species	Cnidocyte	Descriptor	Reference
Anthozoa	Savalia_savaglia	isorhiza	holotrichous	Schmidt, 1974
Anthozoa	Synhalcurias_elegans	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Urticina_felina	isorhiza	basitrichous	
Cubozoa	Carybdea_brevipedalia	isorhiza	holotrichous	Gershwin, 2006
Cubozoa	Carybdea_marsupialis	isorhiza	atrichous	Gershwin, 2006
Cubozoa	Carybdea_marsupialis	isorhiza	holotrichous	Gershwin, 2006
Cubozoa	Carybdea_rastonii	isorhiza	atrichous	Othman, Eldila, Mustaffa, 1996; Gershwin, 2006
Hydrozoa	Abietinaria_filicula	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Abietinaria_filicula	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Aegina_citrea	isorhiza	atrichous	Bouillon, 1985; Bouillon et al, 2004
Hydrozoa	Aegina_citrea	isorhiza	apotrichous	Bouillon, 1985; Bouillon et al, 2004
Hydrozoa	Aeginura_grimaldii	isorhiza	atrichous	Bouillon, 1985; Bouillon et al, 2004
Hydrozoa	Aeginura_grimaldii	isorhiza	apotrichous	Bouillon, 1985; Bouillon et al, 2004
Hydrozoa	Aequorea_australis	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Aequorea_australis	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Aequorea_australis	isorhiza	merotrichous	Bouillon et al, 2004
Hydrozoa	Aequorea_conica	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Aequorea_conica	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Aequorea_conica	isorhiza	merotrichous	Bouillon et al, 2004
Hydrozoa	Aequorea_forskalea	isorhiza	atrichous	Weill, 1934; Russell, 1970; Bouillon, 1985
Hydrozoa	Aequorea_forskalea	isorhiza	basitrichous	Weill, 1934; Russell, 1970; Bouillon, 1985
Hydrozoa	Aequorea_papillata	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Aequorea_papillata	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Aequorea_papillata	isorhiza	merotrichous	Bouillon et al, 2004
Hydrozoa	Agalma_clausi	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Agalma_elegans	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Agalma_okenii	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Aglantha_digitale	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Aglaophenia_elongata	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Aglaophenia_harpago	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Aglaophenia_octodonta	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Aglaophenia_pluma	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Aglaophenia_rhynchocarpa	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Aglaophenia_tubiformis	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Aglaura_hemistoma	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Aglauropsis_aeora	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Aglauropsis_aeora	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Amphinema_dinema	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Amphinema_dinema	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Amphisbetia_minima	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Amphisbetia_minima	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Amphisbetia_operculata	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Amphisbetia_operculata	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Amphogona_apicata	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Anthohebella_parasitica	isorhiza	merotrichous	Bouillon et al, 2004
Hydrozoa	Apolemia_lanosa	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Apolemia_rubriversa	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Astrohydra_japonica	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Astrohydra_japonica	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Athorybia_rosacea	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Botrynema_brucei	isorhiza	atrichous	Bouillon, 1985; Bouillon et al, 2004
Hydrozoa	Bouillonactinia_carcinicola	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Bouillonactinia_hooperi	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Branchiocerianthus_imperator	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Branchiocerianthus_imperator	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Brinckmannia_hexactinellidophila	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Brinckmannia_hexactinellidophila	isorhiza	apotrichous	Bouillon et al, 2004
Hydrozoa	Calycella_syringa	isorhiza	basitrichous	Bouillon & Jangoux, 1984; Bouillon, 1985; Bouillon et al, 2004
Hydrozoa	Calycella_syringa	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Calycella_syringa	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Campanularia_hincksii	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Campanularia_hincksii	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Campanularia_lennoxensis	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Campanularia_lennoxensis	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Campanularia_volubilis	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Campanularia_volubilis	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Campanulina_pumila	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Campanulina_pumila	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Candelabrum_cocksii	isorhiza	atrichous	Ito & Inoue, 1962; Bouillon et al, 2004
Hydrozoa	Cladocarpus_integer	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Clava_multicornis	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Clavactinia_gallensis	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Clavactinia_serrata	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Clytia_elsaeoswaldae	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Clytia_elsaeoswaldae	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Clytia_folleata	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Clytia_folleata	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Clytia_gracilis	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Clytia_gracilis	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Clytia_hemisphaerica	isorhiza	basitrichous	Ostman 1979, 1983; Bouillon et al, 2004
Hydrozoa	Clytia_hemisphaerica	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Clytia_hemisphaerica	isorhiza	atrichous	Bouillon, 1985; Bouillon et al, 2004
Hydrozoa	Clytia_hemisphaerica	isorhiza	basitrichous	Bouillon, 1985; Bouillon et al, 2004
Hydrozoa	Clytia_hummelincki	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Clytia_hummelincki	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Clytia_linearis	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Clytia_linearis	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Clytia_noliformis	isorhiza	merotrichous	Lindner & Migotto 2001
Hydrozoa	Clytia_noliformis	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Clytia_noliformis	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Clytia_paulensis	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Clytia_paulensis	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Clytia_xiamenensis	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Clytia_xiamenensis	isorhiza	basitrichous	Bouillon et al, 2004
Hydrozoa	Codonium_prolifera	isorhiza	atrichous	Bouillon et al, 2004
Hydrozoa	Codonium_prolifera	isorhiza	basitrichous	Bouillon et al, 2004
